method,field,max_absolute_difference,passed
MET-MAP,obs_names,0.0,True
MET-MAP,coords,0.0,True
MET-MAP,mz,0.0,True
MET-MAP,depth,0.0,True
MET-MAP,weights,0.0,True
MET-MAP,loss,0.0,True
MET-MAP,r2,0.0,True
MET-MAP,reconstruction,0.0,True
MET-MAP,ranking.feature_index,0.0,True
MET-MAP,ranking.mz,0.0,True
MET-MAP,ranking.reconstruction_r2,0.0,True
MET-MAP,ranking.strongest_gradient,0.0,True
MET-MAP,ranking.scaled_loading_1,0.0,True
MET-MAP,ranking.scaled_loading_2,0.0,True
MET-MAP,ranking.scaled_loading_3,0.0,True
SIGMA,xy,0.0,True
SIGMA,embedding,0.0,True
SIGMA,gaussian,0.0,True
SIGMA,residual,0.0,True
SIGMA,corrected,0.0,True
SIGMA,gaussian_anchor,0.0,True
SIGMA,probability,0.0,True
SIGMA,p_raw,0.0,True
SIGMA,inside,0.0,True
SIGMA,boundary,0.0,True
SIGMA,d_signed,0.0,True
SIGMA,loss_history,0.0,True
SIGMA,profile_matrix,0.0,True
SIGMA,program_feature_index,0.0,True
SIGMA,program_labels,0.0,True
SIGMA,module_scores,0.0,True
SIGMA,ranking_lambda,0.0,True
SIGMA,ranking_r2_logI,0.0,True
SIGMA,ranking_slope,0.0,True
SIGMA,ranking_intercept,0.0,True
SIGMA,ranking_boundary_enrichment_ratio,0.0,True
